Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Akauri B.O-BPM-UR",30190152,"BPM",,"Akauri B.O","Rewa Division"
2,"Badgad-BPM-SC",30735833,"BPM",,"Badgad","Rewa Division"
3,"Bairdah B.O-BPM-SC",30210866,"BPM",,"Bairdah B.O","Rewa Division"
4,"Bandha-BPM-UR",30735839,"BPM",,"Bandha","Rewa Division"
5,"Barambaba B.O-BPM-UR",30210302,"BPM",,"Barambaba B.O","Rewa Division"
6,"Basaniya-BPM-UR",30735834,"BPM",,"Basaniya","Rewa Division"
7,"Busaul B.O-BPM-UR",30189765,"BPM",,"Busaul B.O","Rewa Division"
8,"Chandwar B.O-ABPM-SC",30675881,"ABPM",,"Chandwar B.O","Rewa Division"
9,"Charki-BPM-SC",30735840,"BPM",,"Charki","Rewa Division"
10,"Chaufal B.O-BPM-SC",30210308,"BPM",,"Chaufal B.O","Rewa Division"
11,"Chaura B.O-ABPM-SC",30190035,"ABPM",,"Chaura B.O","Rewa Division"
12,"Chitrauli-BPM-UR",30735848,"BPM",,"Chitrauli","Rewa Division"
13,"Deorisengran B.O-BPM-SC",30190114,"BPM",,"Deorisengran B.O","Rewa Division"
14,"Dhangarh-ABPM-UR",30738838,"ABPM",,"Dhangarh","Rewa Division"
15,"Dhanha B.O-ABPM-SC",30675878,"ABPM",,"Dhanha B.O","Rewa Division"
16,"Doha B.O-ABPM-UR",30190041,"ABPM",,"Doha B.O","Rewa Division"
17,"Duara B.O-BPM-SC",30190110,"BPM",,"Duara B.O","Rewa Division"
18,"Ganjar-BPM-SC",30735849,"BPM",,"Ganjar","Rewa Division"
19,"Garhwa B.O-BPM-SC",30602847,"BPM",,"Garhwa B.O","Rewa Division"
20,"Ghordand-BPM-UR",30735858,"BPM",,"Ghordand","Rewa Division"
21,"Gondkala B.O-ABPM-SC",30586037,"ABPM",,"Gondkala B.O","Rewa Division"
22,"Gurdari-BPM-UR",30735569,"BPM",,"Gurdari","Rewa Division"
23,"Haiki-BPM-SC",30735859,"BPM",,"Haiki","Rewa Division"
24,"Jamui B.O-BPM-SC",30602848,"BPM",,"Jamui B.O","Rewa Division"
25,"Jawari Tola-BPM-SC",30735850,"BPM",,"Jawari Tola","Rewa Division"
26,"Jhingurdah B.O-BPM-UR",30210926,"BPM",,"Jhingurdah B.O","Rewa Division"
27,"Jodhpur B.O-BPM-SC",30190235,"BPM",,"Jodhpur B.O","Rewa Division"
28,"Kashiyargaon B.O-ABPM-SC",30450038,"ABPM",,"Kashiyargaon B.O","Rewa Division"
29,"Katrihar-ABPM-SC",30738808,"ABPM",,"Katrihar","Rewa Division"
30,"Khaidar B.O-ABPM-UR",30210940,"ABPM",,"Khaidar B.O","Rewa Division"
31,"Khokhwa-BPM-SC",30735837,"BPM",,"Khokhwa","Rewa Division"
32,"Konigadehara B.O-ABPM-UR",30190053,"ABPM",,"Konigadehara B.O","Rewa Division"
33,"Kotwa B.O-BPM-SC",30190023,"BPM",,"Kotwa B.O","Rewa Division"
34,"Kulakwar B.O-ABPM-UR",30210249,"ABPM",,"Kulakwar B.O","Rewa Division"
35,"Kulbaheria B.O-ABPM-UR",30674208,"ABPM",,"Kulbaheria B.O","Rewa Division"
36,"Kusmi B.O-ABPM-UR",30675883,"ABPM",,"Kusmi B.O","Rewa Division"
37,"Look B.O-BPM-SC",30189991,"BPM",,"Look B.O","Rewa Division"
38,"Lurghuti B.O-BPM-UR",30210891,"BPM",,"Lurghuti B.O","Rewa Division"
39,"Mahdewa-BPM-SC",30735571,"BPM",,"Mahdewa","Rewa Division"
40,"Mahuagaon B.O-BPM-SC",30210844,"BPM",,"Mahuagaon B.O","Rewa Division"
41,"Mohania B.O-BPM-SC",30210146,"BPM",,"Mohania B.O","Rewa Division"
42,"Nadna B.O-ABPM-SC",30683429,"ABPM",,"Nadna B.O","Rewa Division"
43,"Nakjhar B.O-BPM-UR",30210136,"BPM",,"Nakjhar B.O","Rewa Division"
44,"Paraswar B.O-BPM-SC",30210135,"BPM",,"Paraswar B.O","Rewa Division"
45,"Pokhra B.O-BPM-SC",30608779,"BPM",,"Pokhra B.O","Rewa Division"
46,"Pondi Dol-ABPM-SC",30738845,"ABPM",,"Pondi Dol","Rewa Division"
47,"Purail B.O-ABPM-SC",30608783,"ABPM",,"Purail B.O","Rewa Division"
48,"Rahat B.O-BPM-SC",30190124,"BPM",,"Rahat B.O","Rewa Division"
49,"Tikatkala B.O-ABPM-UR",30210345,"ABPM",,"Tikatkala B.O","Rewa Division"
50,"Upni B.O-BPM-SC",30210299,"BPM",,"Upni B.O","Rewa Division"
