Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Amadand S.O-Daksevak-UR",30613264,"Daksevak",,"Amadand S.O","Shahdol Division"
2,"Amarpur B.O-BPM-UR",30210679,"BPM",,"Amarpur B.O","Shahdol Division"
3,"Arjhuli-ABPM-UR",30744070,"ABPM",,"Arjhuli","Shahdol Division"
4,"Aswari B.O-ABPM-UR",30210441,"ABPM",,"Aswari B.O","Shahdol Division"
5,"Baherabandh B.O-BPM-UR",30210644,"BPM",,"Baherabandh B.O","Shahdol Division"
6,"Bamhani B.O-ABPM-UR",30210330,"ABPM",,"Bamhani B.O","Shahdol Division"
7,"Bareli B.O-ABPM-SC",30210424,"ABPM",,"Bareli B.O","Shahdol Division"
8,"Barkachh B.O-BPM-UR",30210707,"BPM",,"Barkachh B.O","Shahdol Division"
9,"Bataudi-BPM-SC",30735761,"BPM",,"Bataudi","Shahdol Division"
10,"Bela-BPM-UR",30735768,"BPM",,"Bela","Shahdol Division"
11,"Benibari B.O-ABPM-UR",30675897,"ABPM",,"Benibari B.O","Shahdol Division"
12,"Beohari S.O-Daksevak-UR",30210683,"Daksevak",,"Beohari S.O","Shahdol Division"
13,"Bhad B.O-ABPM-UR",30210629,"ABPM",,"Bhad B.O","Shahdol Division"
14,"Bharaula B.O-BPM-UR",30628311,"BPM",,"Bharaula B.O","Shahdol Division"
15,"Bhejari B.O-BPM-UR",30210607,"BPM",,"Bhejari B.O","Shahdol Division"
16,"Bhelma-ABPM-UR",30744088,"ABPM",,"Bhelma","Shahdol Division"
17,"Bijapuri-BPM-UR",30735795,"BPM",,"Bijapuri","Shahdol Division"
18,"Bijuri Colliery B.O-BPM-SC",30210646,"BPM",,"Bijuri Colliery B.O","Shahdol Division"
19,"Bodri B.O-BPM-UR",30210461,"BPM",,"Bodri B.O","Shahdol Division"
20,"Chachai B.O-BPM-UR",30210393,"BPM",,"Chachai B.O","Shahdol Division"
21,"Chachai S.O-Daksevak-UR",30210738,"Daksevak",,"Chachai S.O","Shahdol Division"
22,"Chhataini-ABPM-SC",30744072,"ABPM",,"Chhataini","Shahdol Division"
23,"Chhataini-BPM-UR",30735751,"BPM",,"Chhataini","Shahdol Division"
24,"Damna-BPM-SC",30735819,"BPM",,"Damna","Shahdol Division"
25,"Dhondha B.O-BPM-UR",30210711,"BPM",,"Dhondha B.O","Shahdol Division"
26,"Dhurwasin B.O-ABPM-UR",30210483,"ABPM",,"Dhurwasin B.O","Shahdol Division"
27,"Dongarsarwar-BPM-UR",30735764,"BPM",,"Dongarsarwar","Shahdol Division"
28,"Ghiyar-ABPM-UR",30744080,"ABPM",,"Ghiyar","Shahdol Division"
29,"Gijari-BPM-UR",30735800,"BPM",,"Gijari","Shahdol Division"
30,"Giruibadi B.O-BPM-UR",30210500,"BPM",,"Giruibadi B.O","Shahdol Division"
31,"Gohparu S.O-Daksevak-UR",30210443,"Daksevak",,"Gohparu S.O","Shahdol Division"
32,"Harri Dol-BPM-SC",30735748,"BPM",,"Harri Dol","Shahdol Division"
33,"Jaithari S.O-Daksevak-UR",30716681,"Daksevak",,"Jaithari S.O","Shahdol Division"
34,"Jamudi-ABPM-UR",30744084,"ABPM",,"Jamudi","Shahdol Division"
35,"Jamuna Colliery S.O-Daksevak-UR",30713502,"Daksevak",,"Jamuna Colliery S.O","Shahdol Division"
36,"Jarha B.O-ABPM-UR",70120212,"ABPM",,"Jarha B.O","Shahdol Division"
37,"Karanpathar B.O-BPM-UR",30210960,"BPM",,"Karanpathar B.O","Shahdol Division"
38,"Karua-ABPM-SC",30744073,"ABPM",,"Karua","Shahdol Division"
39,"Khairahni B.O-BPM-UR",30210416,"BPM",,"Khairahni B.O","Shahdol Division"
40,"Khodri B.O-BPM-UR",30210572,"BPM",,"Khodri B.O","Shahdol Division"
41,"Khurkhuridadar B.O-BPM-SC",30210619,"BPM",,"Khurkhuridadar B.O","Shahdol Division"
42,"Kolhua B.O-BPM-UR",30210411,"BPM",,"Kolhua B.O","Shahdol Division"
43,"Kothital-ABPM-UR",30744095,"ABPM",,"Kothital","Shahdol Division"
44,"Koti-ABPM-UR",30744099,"ABPM",,"Koti","Shahdol Division"
45,"Kumhedin-ABPM-UR",30744096,"ABPM",,"Kumhedin","Shahdol Division"
46,"Lafda B.O-BPM-SC",30210421,"BPM",,"Lafda B.O","Shahdol Division"
